,year,day,length,avg_weight,count,missing_scales,fish_nearby,income
56,2015.0,131.0,110.0,0.5409744,6.0,0.0,2.0,4.335
57,2013.0,285.0,4.0,0.16666667,1.0,0.0,1.0,16.90141
58,2014.0,116.0,2.0,0.5,1.0,0.0,1.0,5.0
59,2017.0,140.0,0.0,0.125,1.0,0.0,2.0,3.75
60,2016.0,313.0,30.0,0.03125,1.0,0.0,2.0,10.0
61,2013.0,318.0,2.0,0.25,1.0,0.0,2.0,20.0
62,2012.0,31.0,0.0,0.5,1.0,0.0,1.0,16.823238
63,2012.0,203.0,2.0,0.0056818184,1.0,0.0,2.0,10.0
64,2013.0,302.0,8.0,0.0625,1.0,0.0,1.0,19.999
65,2016.0,135.0,0.0,0.5,1.0,0.0,1.0,10.494202
66,2017.0,92.0,16.0,0.020833334,1.0,0.0,2.0,4233.5615
67,2014.0,176.0,0.0,0.5,1.0,0.0,1.0,3.114
68,2013.0,296.0,14.0,0.0625,1.0,0.0,2.0,44.197746
69,2011.0,292.0,4.0,0.5,1.0,0.0,2.0,375.39374
70,2017.0,56.0,144.0,0.0091036605,4464.0,0.0,2.0,43.58
71,2014.0,133.0,144.0,0.025,409.0,0.0,2.0,84.999
72,2012.0,248.0,24.0,0.5,2.0,0.0,2.0,67.30537
73,2017.0,7.0,36.0,1.171875,6.0,0.0,2.0,5.6
74,2011.0,38.0,8.0,0.25,1.0,0.0,2.0,475.1
75,2016.0,232.0,68.0,0.0625,1.0,0.0,2.0,10.493
76,2017.0,245.0,144.0,0.00027921968,5495.0,5495.0,2.0,11.094592
77,2017.0,20.0,26.0,0.00012207031,1.0,0.0,2.0,630.6988
78,2014.0,106.0,144.0,5.27302e-08,864.0,0.0,2.0,59.507
79,2017.0,36.0,0.0,0.5,1.0,0.0,2.0,7.5
80,2015.0,201.0,0.0,1.0,1.0,0.0,1.0,13.622829
81,2014.0,266.0,2.0,0.04,1.0,0.0,2.0,12.5262985
82,2017.0,6.0,74.0,0.00048828125,1.0,0.0,2.0,7.005
83,2016.0,84.0,2.0,1.0,2.0,0.0,2.0,41.0
84,2016.0,339.0,144.0,0.18513465,2408.0,2100.0,2.0,8.167
85,2015.0,246.0,6.0,0.0625,3.0,0.0,1.0,31.8
86,2014.0,76.0,144.0,2.844028,1400.0,0.0,1.0,4.26
87,2012.0,31.0,2.0,0.5,1.0,0.0,2.0,84.8
88,2016.0,281.0,26.0,0.125,1.0,0.0,2.0,50.0
89,2016.0,318.0,56.0,0.00076216855,27.0,0.0,2.0,44.156635
90,2016.0,286.0,22.0,0.00390625,1.0,0.0,2.0,7.842
91,2016.0,271.0,0.0,1.0,1.0,0.0,2.0,10.0
92,2014.0,189.0,4.0,0.05,1.0,0.0,1.0,10.0
93,2013.0,317.0,2.0,0.5,1.0,0.0,2.0,20.0
94,2014.0,107.0,0.0,1.0,1.0,0.0,1.0,650.0
95,2017.0,30.0,144.0,0.0011788968,4539.0,0.0,1.0,4.8
96,2016.0,364.0,2.0,0.5,1.0,0.0,2.0,5.569
97,2016.0,106.0,4.0,0.5,1.0,0.0,2.0,12.599
98,2015.0,165.0,0.0,1.0,1.0,0.0,1.0,209.3513
99,2013.0,77.0,0.0,1.0,1.0,0.0,1.0,267.81165
100,2014.0,79.0,14.0,0.4236111,6.0,0.0,1.0,100.0
101,2012.0,144.0,2.0,0.5,1.0,0.0,2.0,299.3133
102,2014.0,27.0,36.0,2.000868,3.0,0.0,1.0,117.988
103,2016.0,205.0,4.0,1.0,2.0,0.0,2.0,7.43
104,2012.0,74.0,8.0,0.03125,1.0,0.0,1.0,169.8
105,2013.0,96.0,0.0,1.0,2.0,0.0,2.0,144.0
106,2014.0,103.0,8.0,0.5,1.0,0.0,1.0,60.0
107,2014.0,119.0,0.0,0.5,1.0,0.0,1.0,90.0
108,2013.0,305.0,0.0,1.0,1.0,0.0,2.0,50.0
109,2017.0,327.0,144.0,0.43014705,5637.0,0.0,1.0,4.374486
110,2012.0,317.0,144.0,0.4262076,1196.0,1196.0,8.0,17.896946
111,2018.0,223.0,0.0,1.0,1.0,0.0,2.0,4.0
112,2018.0,113.0,144.0,0.29320532,6299.0,6299.0,1.0,3600.0
113,2015.0,278.0,0.0,0.5,1.0,0.0,2.0,50.0
114,2014.0,61.0,0.0,1.0,1.0,0.0,1.0,18.829
115,2017.0,14.0,0.0,0.5,1.0,0.0,2.0,3.6083338
116,2014.0,90.0,2.0,0.125,1.0,0.0,1.0,100.0
117,2012.0,264.0,0.0,1.0,1.0,0.0,1.0,780.0335
118,2013.0,12.0,46.0,0.0009765625,1.0,0.0,1.0,5.62494
119,2016.0,231.0,144.0,0.2912295,5076.0,0.0,2.0,12.013
120,2016.0,268.0,30.0,9.765625e-05,1.0,0.0,2.0,3.7207375
121,2017.0,236.0,144.0,0.02326881,565.0,0.0,2.0,3.8772194
122,2012.0,224.0,10.0,0.03125,1.0,0.0,2.0,3.1894639
123,2013.0,77.0,20.0,0.05,2.0,0.0,2.0,3.943248
124,2011.0,77.0,20.0,0.0009765625,1.0,1.0,2.0,1590.4
125,2015.0,184.0,6.0,0.125,6.0,0.0,1.0,20.0
126,2017.0,68.0,144.0,0.60563844,5108.0,2545.0,2.0,60.04
127,2016.0,329.0,144.0,3.6597985e-06,2402.0,0.0,2.0,6.764531
128,2017.0,226.0,2.0,2.0,2.0,0.0,1.0,30.0
129,2015.0,27.0,8.0,0.03125,1.0,0.0,1.0,3.971949
130,2013.0,351.0,10.0,0.026041666,2.0,0.0,2.0,150.001
131,2016.0,238.0,10.0,0.03125,1.0,0.0,1.0,30.0
132,2014.0,131.0,2.0,0.25,1.0,0.0,2.0,89.999
133,2017.0,47.0,6.0,0.020833334,1.0,0.0,2.0,8.0
134,2014.0,97.0,2.0,0.5,1.0,0.0,2.0,8.7
135,2017.0,283.0,4.0,0.00952381,1.0,0.0,2.0,3.3824673
136,2016.0,227.0,2.0,0.5,1.0,0.0,1.0,25.0
137,2013.0,52.0,0.0,0.5,1.0,0.0,2.0,10.0
138,2014.0,107.0,4.0,0.2,1.0,0.0,2.0,30.0
139,2017.0,68.0,14.0,0.5,1.0,0.0,1.0,27.677927
140,2014.0,69.0,4.0,0.25,1.0,0.0,1.0,17.30604
141,2012.0,107.0,0.0,0.5,1.0,0.0,2.0,37.9
142,2013.0,284.0,2.0,1.5,2.0,0.0,2.0,8.0
143,2013.0,128.0,4.0,0.25,1.0,0.0,2.0,100.0
144,2017.0,19.0,144.0,0.31831506,5541.0,0.0,2.0,10.0
145,2017.0,127.0,44.0,0.062561035,2.0,0.0,1.0,9.887421
146,2014.0,157.0,12.0,0.0078125,1.0,0.0,1.0,3.2119677
147,2014.0,101.0,0.0,2.0,2.0,0.0,3.0,8.597349
148,2011.0,43.0,0.0,1.0,1.0,0.0,1.0,4.9
149,2016.0,328.0,144.0,4.6407808e-05,916.0,0.0,1.0,8.418
150,2013.0,133.0,2.0,0.0051369863,24.0,0.0,2.0,17.0
151,2016.0,83.0,4.0,0.25279018,6.0,0.0,2.0,10.0
152,2016.0,47.0,104.0,1.892211e-09,3.0,0.0,1.0,10.0
153,2013.0,323.0,54.0,3.3125,9.0,0.0,15.0,450.60107
154,2013.0,287.0,2.0,0.01984127,3.0,0.0,2.0,3.0
155,2012.0,240.0,10.0,0.031985644,15.0,14.0,1.0,31.208223
156,2016.0,97.0,144.0,0.011851907,5208.0,4565.0,2.0,5.0851827
157,2016.0,144.0,32.0,0.0078125,1.0,0.0,2.0,12.0
158,2012.0,224.0,110.0,3.8146973e-06,13.0,0.0,3.0,57.820335
159,2017.0,114.0,4.0,0.013888889,1.0,0.0,4.0,3.8255408
160,2013.0,315.0,2.0,0.2,1.0,0.0,2.0,3.3211699
161,2016.0,83.0,2.0,0.25,1.0,0.0,2.0,30.0
162,2015.0,261.0,144.0,0.0059814937,2652.0,822.0,1.0,30.8
163,2017.0,286.0,26.0,0.0625,1.0,0.0,2.0,16.38
164,2016.0,55.0,10.0,0.5,1.0,0.0,2.0,8.56854
165,2015.0,163.0,14.0,0.015625,1.0,0.0,1.0,22.199
166,2014.0,89.0,2.0,0.25,1.0,0.0,1.0,22.16338
167,2016.0,205.0,0.0,0.33333334,1.0,0.0,2.0,7.376
168,2014.0,132.0,0.0,0.5,1.0,0.0,1.0,5.0
169,2015.0,78.0,144.0,0.7394618,2223.0,0.0,2.0,648.0668
170,2018.0,310.0,144.0,0.03804182,4114.0,0.0,2.0,7.6099133
171,2015.0,320.0,144.0,0.19648765,2716.0,0.0,1.0,23.0
172,2012.0,23.0,2.0,0.75,3.0,0.0,2.0,57.8
173,2016.0,152.0,26.0,0.00048828125,1.0,0.0,1.0,20.0
174,2011.0,90.0,6.0,0.020053905,44.0,0.0,2.0,23.4
175,2016.0,88.0,0.0,1.0,1.0,0.0,2.0,14.428036
176,2016.0,264.0,6.0,0.125,2.0,0.0,1.0,30.0
177,2014.0,92.0,64.0,0.65853244,9.0,0.0,4.0,180.741
178,2014.0,77.0,2.0,0.5,1.0,0.0,2.0,3.406
179,2016.0,2.0,0.0,0.5,1.0,0.0,1.0,33.5698
180,2016.0,311.0,4.0,3.5,5.0,0.0,3.0,13.35
181,2016.0,217.0,0.0,0.5,1.0,0.0,2.0,8.523
182,2016.0,98.0,0.0,0.5,1.0,0.0,2.0,12.5
183,2016.0,271.0,144.0,0.003976271,470.0,0.0,2.0,40.0
184,2016.0,246.0,2.0,1.25,3.0,0.0,2.0,11.124509
185,2016.0,281.0,2.0,0.055555556,1.0,0.0,2.0,25.0
186,2018.0,253.0,0.0,1.0,1.0,0.0,2.0,57.00678
187,2017.0,191.0,2.0,0.071428575,1.0,0.0,2.0,4.0
188,2011.0,243.0,12.0,0.015625,2.0,0.0,2.0,935.21893
189,2017.0,294.0,0.0,1.0,1.0,0.0,1.0,4.8828926
190,2014.0,226.0,0.0,1.0,1.0,0.0,1.0,47.926933
191,2016.0,21.0,20.0,1.1373028e-06,2.0,0.0,2.0,6.297
192,2014.0,79.0,0.0,1.0,1.0,0.0,1.0,11.6
193,2016.0,123.0,10.0,0.03125,1.0,0.0,2.0,25.0
194,2016.0,260.0,0.0,0.5,1.0,0.0,1.0,13.319
195,2017.0,231.0,144.0,0.57823664,5945.0,2519.0,5.0,250.0
196,2015.0,12.0,144.0,7.9866346e-05,1771.0,0.0,2.0,250.0
197,2013.0,310.0,2.0,0.25,1.0,0.0,2.0,374.26
198,2016.0,258.0,144.0,0.21486413,3210.0,0.0,2.0,4.0
199,2016.0,246.0,0.0,0.5,1.0,0.0,1.0,20.0
200,2011.0,109.0,0.0,0.5,1.0,0.0,1.0,57.3
201,2013.0,315.0,2.0,0.05952381,5.0,0.0,1.0,14.253143
202,2016.0,302.0,144.0,0.0393417,1975.0,0.0,2.0,8.0
203,2018.0,272.0,0.0,1.0,1.0,0.0,1.0,33.989204
204,2013.0,314.0,0.0,1.0,1.0,0.0,2.0,31.6367
205,2017.0,117.0,0.0,1.0,1.0,0.0,2.0,8.0
206,2016.0,246.0,14.0,0.00390625,2.0,0.0,2.0,9.999
207,2013.0,171.0,0.0,1.0,1.0,0.0,1.0,35.9665
208,2016.0,127.0,144.0,0.9832239,4473.0,0.0,2.0,394.1223
209,2011.0,338.0,2.0,0.0989011,18.0,0.0,1.0,10.287736
210,2012.0,38.0,0.0,1.0,1.0,0.0,1.0,83.933
211,2014.0,75.0,2.0,0.75,1.0,1.0,2.0,21.0
212,2018.0,29.0,144.0,0.044571828,6221.0,0.0,2.0,27.489012
213,2013.0,284.0,14.0,0.008897569,3.0,0.0,2.0,4.9
214,2016.0,128.0,0.0,1.0,1.0,0.0,2.0,3.8595
215,2013.0,21.0,12.0,0.125,1.0,0.0,2.0,10.0
216,2016.0,358.0,22.0,0.125,1.0,0.0,2.0,10.0
217,2013.0,274.0,0.0,0.5,1.0,0.0,2.0,5.0
218,2013.0,351.0,6.0,0.0625,1.0,0.0,2.0,69.3742
219,2013.0,168.0,14.0,0.3828125,3.0,0.0,3.0,18.0
220,2016.0,225.0,144.0,0.06987613,3096.0,0.0,1.0,25.0
221,2012.0,256.0,2.0,0.5,1.0,0.0,2.0,167.1
222,2011.0,302.0,16.0,0.5085018,38.0,0.0,2.0,8.885
223,2017.0,3.0,4.0,0.25,1.0,0.0,1.0,4.498
224,2016.0,130.0,0.0,1.0,1.0,0.0,2.0,3.0
225,2017.0,170.0,0.0,1.0,1.0,0.0,2.0,4.0
226,2013.0,338.0,0.0,1.0,1.0,0.0,1.0,5.0
227,2016.0,303.0,2.0,0.5,1.0,0.0,2.0,7.4992237
228,2014.0,5.0,0.0,1.0,1.0,0.0,2.0,4.0168
229,2017.0,25.0,4.0,0.125,1.0,0.0,1.0,30.0
230,2015.0,178.0,22.0,0.00048828125,1.0,0.0,1.0,20.358307
231,2016.0,126.0,4.0,0.5,1.0,0.0,2.0,26.439781
232,2018.0,313.0,2.0,1.0,1.0,0.0,2.0,11.13546
233,2013.0,130.0,2.0,0.005780933,29.0,0.0,2.0,10.113369
234,2015.0,40.0,144.0,0.012519601,2808.0,2231.0,2.0,3.85745
235,2015.0,137.0,4.0,0.5,1.0,0.0,2.0,40.408733
236,2016.0,229.0,144.0,0.004282047,970.0,0.0,2.0,8.8965
237,2015.0,216.0,144.0,0.021198576,2604.0,0.0,2.0,3.4400694
238,2017.0,49.0,20.0,1.0,1.0,0.0,2.0,67.605255
239,2017.0,170.0,0.0,1.0,1.0,0.0,2.0,19.484509
240,2015.0,120.0,0.0,1.0,1.0,0.0,1.0,6.43156
241,2011.0,240.0,12.0,0.0625,1.0,0.0,1.0,268.495
242,2014.0,41.0,144.0,0.35783532,1645.0,1152.0,2.0,16.0
243,2011.0,336.0,2.0,0.8344907,19.0,0.0,6.0,20.872292
244,2017.0,62.0,28.0,0.00018310547,3.0,0.0,2.0,8.0
245,2016.0,149.0,0.0,0.5,1.0,0.0,2.0,12.0
246,2016.0,135.0,8.0,0.03125,1.0,0.0,2.0,12.0
247,2014.0,56.0,144.0,2.64448e-05,3959.0,0.0,2.0,17.036098
248,2012.0,215.0,144.0,0.13042022,982.0,980.0,2.0,6.006544
249,2013.0,245.0,2.0,0.5,1.0,0.0,2.0,33.39
250,2017.0,348.0,18.0,4.4497128e-07,1.0,0.0,2.0,9.98841
251,2012.0,55.0,4.0,1.25,2.0,0.0,1.0,10.0
252,2016.0,332.0,0.0,0.5,1.0,0.0,2.0,10.0
253,2016.0,160.0,144.0,1.5401105,4099.0,180.0,2.0,5.094069
254,2018.0,83.0,144.0,0.25010794,4362.0,0.0,2.0,11.24115
255,2013.0,313.0,4.0,0.125,1.0,0.0,2.0,165.44756
256,2015.0,176.0,144.0,0.064832136,2751.0,0.0,1.0,20.8
257,2011.0,257.0,46.0,1.9073486e-06,1.0,0.0,2.0,2728.735
258,2014.0,75.0,0.0,2.0,2.0,0.0,2.0,11.42761
259,2016.0,201.0,144.0,0.42429516,4823.0,0.0,2.0,12.55
260,2014.0,98.0,144.0,3.3229191,677.0,5.0,5.0,300.0
261,2014.0,244.0,144.0,0.36498028,960.0,0.0,2.0,24.4293
262,2014.0,323.0,144.0,1.8873218e-08,2103.0,2007.0,2.0,4.608389
263,2017.0,180.0,20.0,0.0069444445,1.0,0.0,2.0,4.0
264,2013.0,113.0,2.0,1.5,2.0,0.0,4.0,34.0
265,2017.0,349.0,48.0,1.0,1.0,0.0,2.0,41.980484
266,2016.0,266.0,144.0,0.3522262,2738.0,930.0,1.0,205.0
267,2018.0,171.0,0.0,1.0,1.0,0.0,1.0,3.8334963
268,2013.0,209.0,0.0,1.0,1.0,0.0,1.0,8.284467
269,2015.0,243.0,28.0,9.042245e-08,1.0,0.0,1.0,32.0
270,2017.0,59.0,0.0,1.0,1.0,0.0,1.0,10.0
271,2014.0,102.0,144.0,0.16960794,1097.0,4.0,2.0,46.8
272,2011.0,269.0,12.0,0.03125,1.0,0.0,2.0,157.075
273,2016.0,79.0,14.0,0.25,1.0,0.0,1.0,5.0
274,2014.0,71.0,144.0,3.7813225,1405.0,1209.0,13.0,2414.888
275,2017.0,197.0,142.0,0.08371479,10999.0,1.0,4.0,17.989
276,2014.0,220.0,144.0,3.1542544,1555.0,1481.0,2.0,34.41
277,2013.0,144.0,0.0,1.0,1.0,0.0,1.0,303.174
278,2016.0,167.0,4.0,0.039473683,3.0,0.0,2.0,6.5
279,2014.0,170.0,144.0,0.00029930638,1155.0,1155.0,1.0,52.002
280,2016.0,20.0,14.0,0.0125,5.0,0.0,2.0,32.473774
281,2016.0,84.0,2.0,0.25,1.0,0.0,1.0,41.0
282,2016.0,203.0,0.0,1.0,1.0,0.0,2.0,15.0
283,2015.0,245.0,144.0,0.03572376,910.0,0.0,2.0,8.5
284,2013.0,335.0,126.0,1.1623384,3756.0,1.0,4.0,120.0
285,2018.0,20.0,144.0,0.58591545,8677.0,0.0,1.0,9.98
286,2018.0,281.0,144.0,0.000104662664,891.0,0.0,2.0,18.203527
287,2016.0,236.0,144.0,0.23323251,4325.0,0.0,1.0,40.0
288,2013.0,77.0,22.0,0.0030657088,23.0,0.0,2.0,36.951363
289,2014.0,185.0,2.0,1.0,1.0,0.0,1.0,3.8911366
290,2015.0,91.0,0.0,1.0,1.0,0.0,1.0,29.8
291,2014.0,181.0,144.0,1.0220456,476.0,0.0,2.0,23.2956
292,2012.0,124.0,0.0,1.0,1.0,0.0,1.0,4.2
293,2013.0,295.0,4.0,0.5069444,2.0,0.0,4.0,12.042867
294,2013.0,314.0,142.0,14.837802,2131.0,2131.0,23.0,1683.0
295,2011.0,118.0,18.0,1.0,1.0,0.0,2.0,187.8
296,2016.0,102.0,144.0,0.13825274,2278.0,0.0,2.0,32.103733
297,2018.0,330.0,18.0,1.0,1.0,0.0,2.0,63.886814
298,2016.0,254.0,2.0,0.25,1.0,0.0,1.0,9.90278
299,2013.0,331.0,18.0,0.50005144,2.0,0.0,2.0,19.95
300,2014.0,5.0,6.0,0.0625,1.0,0.0,1.0,24.013163
301,2014.0,146.0,4.0,2.0,2.0,0.0,2.0,71.04709
302,2012.0,185.0,0.0,0.5,1.0,0.0,1.0,30.0
303,2014.0,32.0,36.0,0.00063295715,2.0,0.0,1.0,4.884
304,2018.0,219.0,2.0,1.0,1.0,0.0,2.0,216.36166
305,2011.0,123.0,12.0,0.34375,10.0,0.0,2.0,59.9
306,2017.0,232.0,0.0,1.0,1.0,0.0,1.0,11.493732
307,2013.0,336.0,10.0,0.010416667,1.0,0.0,1.0,3.5
308,2014.0,156.0,38.0,7.6293945e-06,1.0,0.0,1.0,100.0
309,2016.0,50.0,18.0,0.020833334,3.0,0.0,1.0,5.0
310,2013.0,66.0,2.0,2.0,4.0,0.0,7.0,1283.08
311,2013.0,341.0,0.0,0.032258064,1.0,0.0,1.0,5.1542645
312,2016.0,175.0,30.0,0.125,1.0,0.0,2.0,20.0
313,2013.0,210.0,2.0,0.5,1.0,0.0,1.0,10.0
314,2014.0,87.0,142.0,1.0078967,206.0,0.0,3.0,32.15799
315,2013.0,312.0,144.0,1.6558988,2400.0,2400.0,11.0,85.144
316,2014.0,262.0,4.0,0.11111111,1.0,0.0,1.0,864.02435
317,2011.0,285.0,2.0,0.25,1.0,0.0,1.0,3.995
318,2014.0,127.0,0.0,1.0,1.0,0.0,1.0,3.0
319,2018.0,143.0,144.0,0.015329072,6074.0,0.0,2.0,20.404495
320,2012.0,325.0,18.0,0.03515625,5.0,0.0,1.0,30.0
321,2016.0,267.0,4.0,0.125,3.0,0.0,1.0,40.0
322,2016.0,229.0,144.0,0.723175,3232.0,0.0,1.0,30.0
323,2014.0,60.0,144.0,0.37685388,1786.0,11.0,2.0,23.0
324,2016.0,113.0,0.0,1.0,1.0,0.0,1.0,3.0999088
325,2017.0,61.0,4.0,1.75,4.0,1.0,2.0,6.251
326,2011.0,5.0,10.0,0.015625,1.0,0.0,2.0,269.2
327,2017.0,243.0,0.0,1.0,1.0,0.0,1.0,83.71957
328,2014.0,84.0,28.0,0.00077160494,1.0,0.0,2.0,160.89574
329,2013.0,335.0,144.0,2.6113212,3754.0,3753.0,9.0,783.299
330,2016.0,51.0,144.0,0.3485527,5643.0,0.0,2.0,6.1200237
331,2016.0,159.0,144.0,0.016857455,6066.0,0.0,2.0,12.0
332,2016.0,199.0,2.0,1.0,1.0,0.0,1.0,10.175
333,2016.0,264.0,144.0,0.64403725,3120.0,0.0,2.0,30.0
334,2018.0,68.0,56.0,0.001953125,1.0,0.0,2.0,21.028887
335,2017.0,282.0,144.0,0.2882883,157.0,0.0,2.0,95.88541
336,2015.0,10.0,108.0,0.5,1.0,0.0,2.0,45.973423
337,2015.0,313.0,144.0,0.004089512,385.0,0.0,2.0,6.059348
338,2017.0,48.0,0.0,1.0,1.0,0.0,2.0,10.005
339,2016.0,274.0,20.0,0.25,1.0,0.0,2.0,10.0
340,2011.0,61.0,42.0,0.6804152,28.0,27.0,4.0,53.6
341,2012.0,228.0,76.0,0.5625,30.0,0.0,9.0,73.654625
342,2016.0,221.0,0.0,0.11111111,1.0,0.0,2.0,2500.0
343,2013.0,153.0,4.0,0.625,2.0,1.0,2.0,3500.0
344,2014.0,76.0,0.0,1.0,1.0,0.0,1.0,3.1351664
345,2013.0,356.0,0.0,0.5,1.0,0.0,2.0,100.0
346,2014.0,73.0,6.0,1.0,1.0,0.0,1.0,10.0
347,2017.0,355.0,2.0,0.5,1.0,0.0,1.0,50.0
348,2016.0,110.0,18.0,0.015625,1.0,0.0,1.0,11.0
349,2016.0,250.0,0.0,0.5,1.0,0.0,2.0,50.0
350,2013.0,234.0,6.0,2.5001156,5.0,4.0,6.0,317.152
351,2015.0,357.0,4.0,1.0,1.0,0.0,2.0,7.645814
352,2012.0,249.0,6.0,0.0625,1.0,0.0,2.0,418.0
353,2014.0,10.0,12.0,0.44230768,4.0,0.0,1.0,5.9
354,2015.0,293.0,4.0,0.25,1.0,0.0,1.0,72.4226
355,2013.0,262.0,2.0,0.75,2.0,0.0,4.0,31.140362
356,2016.0,162.0,8.0,0.0625,1.0,0.0,2.0,12.5
357,2015.0,85.0,6.0,0.3125,3.0,0.0,2.0,100.009
358,2015.0,7.0,144.0,1.0763285,2805.0,2805.0,4.0,91.0
359,2017.0,270.0,124.0,0.0017264966,20.0,0.0,2.0,45.874912
360,2013.0,295.0,10.0,4.1805553,9.0,0.0,8.0,334.41904
361,2013.0,90.0,2.0,0.022727273,1.0,0.0,1.0,10.0
362,2014.0,70.0,140.0,1.5094792,23.0,0.0,3.0,19.82359
363,2012.0,29.0,2.0,0.02032767,73.0,0.0,1.0,107.3
364,2014.0,146.0,112.0,1.3877788e-17,1.0,0.0,8.0,45.367
365,2017.0,120.0,6.0,0.00042900044,1.0,0.0,2.0,7.808
366,2016.0,126.0,2.0,0.16666667,1.0,0.0,2.0,12.5
367,2017.0,10.0,22.0,0.5,1.0,0.0,2.0,32.978336
368,2016.0,196.0,138.0,0.0003273184,207.0,0.0,2.0,7.904
369,2016.0,159.0,144.0,0.8620378,3779.0,0.0,2.0,12.0
370,2015.0,227.0,92.0,4.656613e-10,1.0,0.0,1.0,89.43695
371,2014.0,107.0,2.0,0.25,1.0,0.0,1.0,5.5929155
372,2014.0,102.0,0.0,0.5,1.0,0.0,1.0,29.0
373,2015.0,162.0,144.0,0.057198204,2621.0,0.0,1.0,31.1
374,2013.0,329.0,2.0,0.25,1.0,0.0,1.0,45.731644
375,2013.0,224.0,6.0,1.0085378,3.0,1.0,6.0,49.88891
376,2012.0,194.0,2.0,0.016794218,44.0,0.0,1.0,10.1
377,2014.0,195.0,0.0,1.0,1.0,0.0,1.0,37.097
