image_name,x_min,x_max,y_min,y_max
image_162,43,388,27,346
image_163,13,139,5,98
image_164,29,539,97,378
image_165,2,454,113,379
image_166,90,205,16,131
image_167,116,299,25,239
image_168,16,177,12,150
image_169,10,118,2,99
image_170,0,249,6,268
image_171,7,290,24,319
image_172,94,305,31,351
image_173,26,185,22,287
image_174,2,189,3,169
image_175,55,274,13,270
image_176,0,155,8,229
image_177,0,294,90,434
image_178,10,248,11,188
image_179,24,542,17,481
image_180,7,220,5,154
image_181,116,182,24,94
image_182,24,202,114,268
image_183,48,367,102,367
image_184,19,199,22,143
image_185,56,499,22,374
image_186,23,598,0,435
image_187,91,483,55,346
image_188,29,370,30,289
image_189,0,141,28,149
image_190,30,392,103,379
image_191,1,292,5,257
image_192,192,625,40,597
image_193,68,598,1,448
image_194,47,362,17,401
image_195,10,196,25,280
image_196,18,157,14,171
image_197,34,276,15,225
image_198,71,192,2,223
image_199,15,253,30,223
image_200,4,561,33,545
image_201,74,347,36,253
image_202,99,161,75,161
image_203,21,179,7,219
image_204,4,377,7,285
image_205,84,327,36,277
image_206,242,439,48,222
image_207,64,268,30,260
image_208,1,391,1,354
image_209,22,160,5,130
image_210,23,392,7,276
image_211,64,212,7,239
image_212,60,302,32,396
image_213,6,598,0,792
image_214,28,273,13,251
image_215,98,252,43,226
image_216,50,203,5,206
image_217,8,146,2,166
image_218,73,255,24,255
image_219,64,201,50,193
image_220,13,185,24,131
image_221,2,460,28,419
image_222,16,350,1,346
image_223,18,586,22,798
image_224,30,478,23,427
image_225,51,342,15,281
image_226,30,328,11,367
image_227,0,582,57,447
image_228,0,414,51,416
image_229,22,381,21,253
image_230,11,376,8,384
image_231,65,384,65,344
image_232,9,524,4,393
image_233,153,303,52,215
image_234,62,432,77,539
image_235,58,307,67,298
image_236,6,375,10,384
image_237,22,322,7,261
image_238,67,283,54,329
image_239,205,321,20,221
image_240,197,450,196,389
image_241,7,196,7,193
image_242,177,598,7,270
image_243,74,252,11,283
image_244,57,122,55,178
image_245,2,567,18,464
image_246,103,563,76,582
image_247,5,114,34,144
image_248,42,378,28,347
image_249,1,149,1,131
image_250,87,162,15,147
image_251,23,199,7,184
image_252,146,332,16,280
image_253,13,279,12,302
image_254,39,381,16,340
image_255,101,597,131,798
image_256,9,334,11,421
image_257,24,283,43,216
image_258,65,538,4,446
image_259,39,220,69,246
image_260,15,319,91,394
image_261,63,483,50,425
image_262,0,197,0,179
image_263,32,153,19,161
image_264,0,209,27,181
image_265,8,404,2,316
image_266,41,209,40,218
image_267,190,380,69,279
image_268,1,335,63,332
image_269,3,355,4,422
image_270,36,542,28,409
image_271,49,272,25,250
image_272,22,370,117,522
image_273,71,598,97,434
image_274,1,161,6,199
image_275,16,329,28,296
image_276,8,286,1,349
image_277,8,394,8,390
image_278,35,218,57,217
image_279,32,327,20,395
image_280,8,195,1,259
image_281,58,429,10,374
image_282,0,183,1,199
image_283,0,199,29,193
image_284,19,262,14,279
image_285,207,672,178,508
image_286,23,205,20,197
image_287,9,433,30,385
image_288,13,175,44,243
image_289,27,154,22,133
image_290,51,344,26,304
image_291,138,530,36,448
image_292,19,171,18,167
image_293,66,323,49,262
image_294,13,589,17,520
image_295,0,220,37,249
image_296,70,596,7,699
image_297,40,184,26,217
image_298,66,282,36,238
image_299,68,559,33,428
image_300,26,199,24,166
image_301,57,176,20,120
image_302,176,392,78,288
image_303,50,280,133,447
image_304,121,339,63,244
image_305,177,395,117,329
image_306,0,564,101,377
image_307,30,168,80,266
image_308,53,249,21,274
image_309,30,223,25,398
image_310,19,212,8,215
image_311,0,119,0,119
image_312,43,239,20,284
image_313,166,528,232,750
image_314,41,430,54,524
image_315,5,129,9,116
image_316,1,149,0,149
image_317,3,461,56,373
image_318,53,223,27,179
image_319,57,395,36,363
image_320,35,237,29,330
image_321,131,598,169,404
image_322,12,256,5,284
image_323,180,551,76,386
image_324,141,348,15,252
image_325,27,202,43,306
image_326,52,170,3,180
image_327,1,349,25,221
image_328,24,219,15,219
image_329,8,217,8,177
image_330,44,460,25,386
image_331,17,197,116,270
image_332,25,241,34,292
image_333,31,276,22,231
image_334,17,567,96,452
image_335,8,91,30,155
image_336,41,598,150,616
image_337,63,193,25,193
image_338,111,430,21,374
image_339,153,476,71,374
image_340,170,364,90,339
image_341,22,498,86,374
image_342,63,499,19,327
image_343,133,410,0,333
image_344,16,362,57,442
image_345,173,329,28,248
image_346,51,321,0,328
image_347,138,375,82,333
image_348,211,392,77,415
image_349,181,411,27,290
image_350,164,313,70,276
image_351,16,281,2,294
image_352,124,435,25,374
image_353,4,795,34,815
image_354,84,409,54,314
image_355,31,366,23,263
image_356,114,379,16,410
image_357,0,203,92,374
image_358,69,358,78,309
image_359,96,322,187,462
image_360,81,330,210,498
image_361,124,383,15,333
image_362,133,419,18,308
image_363,73,429,48,359
image_364,1,367,39,329
image_365,16,238,21,217
image_366,19,424,0,332
image_367,1,161,192,345
image_368,172,307,68,251
image_369,36,307,95,398
image_370,0,463,47,299
image_371,12,485,14,370
image_372,118,415,0,285
image_373,79,325,26,332
image_374,203,461,59,332
image_375,172,497,122,371
image_376,70,328,142,406
image_377,24,457,28,344
image_378,202,320,77,222
image_379,35,171,215,448
image_380,146,364,0,336
image_381,27,498,0,373
image_382,183,335,88,239
image_383,36,364,26,498
image_384,141,414,30,337
image_385,47,330,47,498
image_386,109,332,94,284
image_387,211,498,111,374
image_388,152,499,43,334
image_389,96,278,2,297
image_390,95,305,95,440
image_391,212,446,53,325
image_392,0,373,1,497
image_393,44,427,5,374
image_394,91,428,12,295
image_395,279,466,65,271
image_396,4,406,40,374
image_397,67,284,111,433
image_398,0,494,40,374
image_399,205,302,137,276
image_400,42,258,72,387
image_401,33,293,22,303
image_402,32,287,46,398
image_403,6,423,31,498
image_404,203,496,11,372
image_405,11,385,61,317
image_406,45,217,161,392
image_407,108,310,92,374
image_408,22,273,31,472
image_409,10,335,61,455
image_410,72,466,45,298
image_411,7,252,161,493
image_412,5,481,25,356
image_413,47,309,22,436
image_414,140,375,0,283
image_415,83,380,105,391
image_416,34,487,37,358
image_417,209,399,0,298
image_418,28,302,13,232
image_419,100,434,71,261
image_420,0,331,127,498
image_421,34,336,110,344
image_422,161,267,86,208
image_423,85,398,105,289
image_424,48,227,70,276
image_425,56,309,21,471
image_426,128,397,101,292
image_427,167,407,156,366
image_428,42,348,52,282
image_429,17,188,152,332
image_430,142,499,121,329
image_431,216,346,212,353
image_432,38,371,47,376
image_433,106,382,51,332
image_434,103,445,94,395
image_435,0,270,179,351
image_436,21,249,10,371
image_437,38,493,45,374
image_438,178,373,13,317
image_439,103,267,51,427
image_440,163,335,133,304
image_441,166,400,52,286
image_442,0,315,7,311
image_443,95,410,21,328
image_444,35,436,35,498
image_445,129,353,8,249
image_446,143,328,82,331
image_447,138,399,31,354
image_448,0,324,111,498
image_449,108,479,109,360
image_450,148,479,1,359
image_451,148,402,13,336
image_452,257,465,136,374
image_453,0,332,26,340
image_454,7,420,26,488
image_455,11,396,25,498
image_456,85,337,77,496
image_457,21,374,2,321
image_458,179,386,2,311
image_459,0,499,53,374
image_460,95,381,16,470
image_461,0,463,80,326
image_462,122,499,69,374
image_463,149,377,57,332
image_464,69,475,1,374
image_465,122,465,16,314
image_466,92,498,7,347
image_467,137,377,16,333
image_468,0,413,1,374
image_469,103,372,50,361
image_470,96,299,110,404
image_471,52,329,78,447
image_472,164,362,30,332
image_473,41,329,9,371
image_474,0,331,80,498
image_475,0,447,14,334
image_476,0,473,91,323
image_477,156,348,37,332
image_478,82,374,0,287
image_479,60,232,27,235
image_480,133,311,37,239
image_481,188,393,283,488
image_482,30,445,43,436
image_483,150,360,88,278
image_484,0,425,0,374
image_485,0,453,48,345
image_486,15,379,36,332
image_487,219,370,67,278
image_488,67,480,0,332
image_489,145,458,0,374
image_490,191,349,162,298
image_491,19,240,1,222
image_492,167,319,18,315
image_493,109,447,2,335
image_494,73,402,13,374
image_495,78,378,37,337
image_496,31,421,16,488
image_497,40,433,33,496
image_498,2,499,28,374
image_499,172,327,94,306
image_500,129,422,5,373
image_501,149,307,85,341
image_502,0,299,12,329
image_503,17,194,53,138
image_504,150,379,30,325
image_505,77,290,32,498
image_506,121,455,6,360
image_507,267,472,107,373
image_508,27,493,45,325
image_509,0,391,32,324
image_510,117,420,20,374
image_511,161,459,17,399
image_512,105,277,129,333
image_513,184,373,43,316
image_514,37,490,0,430
image_515,111,498,59,329
image_516,81,399,28,299
image_517,55,424,76,304
image_518,111,499,0,374
image_519,216,405,74,321
image_520,80,428,62,332
image_521,71,312,43,498
image_522,8,492,52,391
image_523,127,415,2,353
image_524,1,404,17,498
image_525,92,371,93,304
image_526,2,418,48,293
image_527,107,404,39,332
image_528,0,370,5,374
image_529,123,351,170,400
image_530,160,367,102,271
image_531,131,427,17,348
image_532,111,975,67,760
image_533,0,479,18,342
image_534,118,479,38,326
image_535,111,301,53,361
image_536,175,448,113,292
image_537,129,285,28,274
image_538,56,373,58,481
image_539,129,417,168,374
image_540,0,469,0,374
image_541,129,389,96,348
image_542,152,360,65,293
image_543,84,404,11,374
image_544,0,383,28,374
image_545,37,324,139,498
image_546,217,454,43,314
image_547,36,189,97,295
image_548,15,290,82,463
image_549,234,384,127,366
image_550,255,423,29,274
image_551,2,499,13,298
image_552,70,499,31,308
image_553,179,430,27,271
image_554,14,396,28,332
image_555,180,471,13,357
image_556,126,458,29,283
image_557,58,332,77,311
image_558,183,382,68,320
image_559,35,375,11,372
image_560,0,331,45,498
image_561,5,436,7,491
image_562,0,331,47,498
image_563,56,370,37,340
image_564,120,390,165,374
image_565,14,498,8,406
image_566,0,369,118,373
image_567,146,373,160,498
image_568,95,300,56,466
image_569,8,112,194,272
image_570,202,365,184,323
image_571,165,322,56,284
image_572,185,312,37,276
image_573,127,474,52,333
image_574,0,398,74,311
image_575,107,449,69,315
image_576,40,303,131,319
image_577,113,498,33,351
image_578,76,225,158,297
image_579,173,430,2,374
image_580,86,251,54,224
image_581,18,173,8,213
image_582,1,418,0,374
image_583,136,426,4,332
image_584,126,297,86,374
image_585,148,492,16,374
image_586,211,466,3,374
image_587,214,450,1,260
image_588,83,499,22,331
image_589,3,363,4,297
image_590,1,249,3,169
image_591,67,315,8,253
image_592,86,383,83,200
image_593,36,359,24,230
image_594,38,373,21,453
image_595,0,331,0,498
image_596,79,313,36,299
image_597,71,320,72,385
image_598,145,499,16,292
image_599,250,499,88,285
image_600,131,356,33,283
image_601,0,273,0,164
image_602,8,293,13,186
image_603,10,294,21,294
image_604,154,364,1,138
image_605,38,499,0,332
image_606,2,387,12,374
image_607,64,456,18,356
image_608,132,366,82,296
image_609,0,398,10,332
image_610,20,304,54,302
image_611,192,369,90,325
image_612,25,329,18,450
image_613,201,499,34,368
image_614,178,352,136,361
image_615,79,295,76,332
image_616,87,390,80,374
image_617,52,465,76,478
image_618,259,497,50,309
image_619,141,323,22,295
image_620,29,446,78,297
image_621,131,224,126,207
image_622,169,367,110,374
image_623,133,401,80,239
image_624,27,484,49,300
image_625,0,499,30,332
image_626,187,420,34,324
image_627,129,385,69,385
image_628,182,459,6,374
image_629,131,324,152,282
image_630,161,322,108,225
image_631,84,444,63,374
image_632,128,412,34,238
image_633,50,318,125,456
image_634,81,398,86,383
image_635,40,399,33,276
image_636,0,499,48,286
image_637,135,326,33,311
image_638,1,425,109,302
image_639,105,498,0,303
image_640,124,384,78,332
image_641,1,335,8,320
image_642,12,195,68,189
image_643,86,264,172,376
image_644,119,409,0,357
image_645,24,472,17,353
image_646,83,472,0,332
image_647,100,331,150,416
image_648,82,499,15,374
image_649,57,499,15,374
image_650,2,196,1,199
image_651,84,499,8,330
image_652,160,498,5,294
image_653,115,255,92,432
image_654,219,332,128,328
image_655,163,437,55,374
image_656,20,416,38,268
image_657,25,124,10,183
image_658,0,452,18,341
image_659,58,285,189,347
image_660,27,235,174,361
image_661,22,331,85,408
image_662,23,356,61,359
image_663,111,498,30,322
image_664,37,331,31,277
image_665,9,391,9,198
image_666,111,287,15,271
image_667,39,161,32,232
image_668,205,401,121,281
image_669,0,235,146,498
image_670,86,271,21,224
image_671,33,336,80,376
image_672,18,454,31,296
image_673,141,364,93,368
image_674,23,233,10,195
image_675,231,383,66,286
image_676,92,282,84,342
image_677,117,290,76,237
image_678,33,319,48,239
image_679,23,299,12,349
image_680,25,396,0,332
image_681,75,252,175,378
image_682,0,341,85,495
image_683,2,348,42,382
image_684,1,466,47,374
image_685,165,370,73,238
image_686,113,293,2,254
image_687,41,331,179,498
image_688,158,381,90,327
image_689,2,331,25,357
image_690,0,334,72,408
image_691,0,444,0,373
image_692,278,499,0,266
image_693,3,499,2,374
image_694,41,401,113,299
image_695,146,467,6,270
image_696,160,462,0,374
image_697,188,311,46,280
image_698,141,359,49,278
image_699,0,231,18,187
image_700,0,331,73,498
image_701,13,396,44,453
image_702,135,411,60,374
image_703,25,389,23,319
image_704,151,377,73,257
image_705,102,406,46,327
image_706,68,418,51,374
image_707,94,345,99,215
image_708,14,498,26,451
image_709,0,261,90,374
image_710,23,373,82,498
image_711,2,352,22,498
image_712,131,323,11,292
image_713,96,445,78,374
image_714,42,499,0,374
image_715,166,326,123,286
image_716,408,1025,220,931
image_717,12,220,9,178
image_718,43,221,27,307
image_719,2,182,4,153
image_720,2,291,14,185
image_721,0,499,6,374
image_722,423,712,129,472
image_723,0,189,44,192
image_724,47,311,5,382
image_725,101,321,50,372
image_726,58,487,46,422
image_727,0,340,6,359
image_728,133,498,14,265
image_729,92,499,59,309
image_730,2,356,0,374
image_731,226,493,48,373
image_732,96,294,81,203
image_733,55,446,0,373
image_734,126,357,55,261
image_735,19,340,33,288
image_736,16,316,27,289
image_737,50,240,55,455
image_738,52,334,42,283
image_739,232,451,51,331
image_740,0,263,4,351
image_741,62,331,33,498
image_742,83,270,153,453
image_743,31,197,110,333
image_744,178,319,146,347
image_745,0,445,74,374
image_746,120,330,65,280
image_747,36,373,22,498
image_748,118,302,97,203
image_749,100,267,97,263
image_750,247,374,86,279
image_751,130,234,300,427
image_752,125,306,60,327
image_753,50,459,55,346
image_754,84,415,0,368
image_755,127,371,32,333
image_756,2,316,120,417
image_757,63,373,0,446
image_758,20,336,91,493
image_759,26,455,25,427
image_760,4,391,49,375
image_761,144,352,76,301
image_762,32,497,9,368
image_763,50,457,20,446
image_764,47,421,44,309
image_765,0,491,45,225
image_766,111,459,7,332
image_767,155,384,71,355
image_768,90,382,68,284
image_769,2,343,6,490
image_770,159,464,81,296
image_771,76,451,96,374
image_772,26,373,53,420
image_773,88,298,55,374
image_774,120,446,14,322
image_775,0,397,35,343
image_776,72,297,120,410
image_777,126,428,74,374
image_778,145,370,65,374
image_779,107,499,12,374
image_780,24,351,32,214
image_781,127,236,212,353
image_782,123,372,3,329
image_783,63,319,27,200
image_784,255,492,16,256
image_785,99,367,1,374
image_786,212,363,119,318
image_787,30,311,11,304
image_788,50,408,66,353
image_789,57,313,72,451
image_790,160,333,50,416
image_791,210,350,68,296
image_792,36,373,17,498
image_793,37,320,71,427
image_794,0,498,35,436
image_795,1,373,31,491
image_796,0,340,36,241
image_797,0,499,55,310
image_798,175,365,21,304
image_799,52,342,0,498
image_800,19,178,9,209
image_801,41,325,77,498
image_802,107,429,67,282
image_803,288,465,160,374
image_804,134,371,63,281
image_805,112,388,215,356
image_806,112,373,0,480
image_807,2,499,49,374
image_808,55,417,14,366
image_809,39,292,5,356
image_810,49,491,58,328
image_811,84,365,30,252
image_812,121,355,156,440
image_813,79,367,19,332
image_814,141,457,26,367
image_815,65,492,1,321
image_816,158,338,39,328
image_817,203,369,14,239
image_818,95,399,50,374
image_819,65,414,75,374
image_820,6,269,156,467
image_821,70,499,5,305
image_822,41,393,67,293
image_823,82,274,61,265
image_824,90,240,76,249
image_825,87,227,77,312
image_826,11,381,2,243
image_827,153,262,121,250
image_828,140,311,48,282
image_829,0,443,29,374
image_830,0,475,39,374
image_831,126,478,81,332
image_832,86,217,13,213
image_833,1,468,6,374
image_834,136,403,5,287
image_835,43,348,18,394
image_836,188,316,122,291
image_837,35,247,16,217
image_838,101,479,35,303
image_839,184,435,53,362
image_840,185,346,22,254
image_841,0,286,33,313
image_842,7,380,23,299
image_843,61,327,0,242
image_844,62,347,20,390
image_845,92,221,67,181
image_846,69,238,154,373
image_847,100,293,7,203
image_848,1,463,94,369
image_849,58,420,0,331
image_850,32,428,43,374
image_851,277,424,2,178
image_852,7,382,56,487
image_853,91,447,98,498
image_854,75,418,61,373
image_855,103,388,50,267
image_856,56,302,109,227
image_857,56,342,43,408
image_858,148,408,100,291
image_859,0,391,45,357
image_860,201,332,116,253
image_861,30,270,31,231
image_862,0,369,0,374
image_863,0,479,42,374
image_864,0,373,42,498
image_865,66,302,118,310
image_866,180,469,54,374
image_867,76,479,11,366
image_868,66,351,116,272
image_869,302,430,93,262
image_870,119,325,8,315
image_871,37,496,66,361
image_872,0,287,107,478
image_873,31,229,80,416
image_874,157,434,190,336
image_875,103,237,40,243
image_876,130,492,100,335
image_877,94,331,6,330
image_878,0,271,1,266
image_879,1,338,68,374
image_880,133,358,130,440
image_881,46,399,70,343
image_882,1,373,20,498
image_883,137,337,94,346
image_884,104,426,73,358
image_885,78,491,6,308
image_886,0,410,90,271
image_887,28,365,38,472
image_888,48,461,63,364
image_889,32,428,65,471
image_890,336,499,95,315
image_891,0,261,172,483
image_892,18,318,20,391
image_893,73,419,13,344
image_894,22,327,59,279
image_895,61,499,119,374
image_896,155,499,74,331
image_897,27,424,1,321
image_898,78,431,46,231
image_899,18,334,29,308
image_900,13,358,0,314
image_901,151,499,59,374
image_902,57,343,1,354
image_903,109,438,49,371
image_904,271,494,46,355
image_905,70,435,105,368
image_906,20,496,12,442
image_907,215,438,123,498
image_908,111,379,79,327
image_909,72,388,49,332
image_910,2,327,0,402
image_911,6,499,0,374
image_912,127,368,46,329
image_913,0,247,78,422
image_914,1,339,0,333
image_915,90,237,238,369
image_916,94,199,127,218
image_917,22,480,12,374
image_918,19,379,56,401
image_919,170,499,44,254
image_920,24,481,34,329
image_921,1,281,62,445
image_922,123,400,109,327
image_923,11,362,14,337
image_924,77,400,27,295
image_925,83,345,0,332
image_926,113,456,38,341
image_927,35,496,30,374
image_928,27,343,53,374
image_929,47,272,97,498
image_930,2,490,2,374
image_931,33,226,184,370
image_932,238,414,58,246
image_933,1,453,0,228
image_934,264,433,94,331
image_935,123,293,121,303
image_936,237,368,167,356
image_937,83,370,61,336
image_938,143,499,80,374
image_939,103,320,3,335
image_940,67,285,147,328
image_941,32,413,30,331
image_942,45,438,18,480
image_943,164,431,62,374
image_944,145,346,56,362
image_945,86,498,63,296
image_946,20,396,8,332
image_947,17,357,0,476
image_948,45,446,0,458
image_949,0,332,48,438
image_950,20,323,13,498
image_951,67,429,0,332
image_952,125,317,85,331
image_953,7,319,0,480
image_954,103,355,88,411
image_955,62,313,103,258
image_956,21,91,18,126
image_957,12,297,40,450
image_958,36,141,22,178
image_959,101,386,15,477
image_960,1,293,0,391
image_961,70,638,9,478
image_962,13,308,42,295
image_963,225,499,96,374
image_964,23,366,10,332
image_965,4,397,2,243
image_966,17,185,171,410
image_967,235,498,58,498
image_968,29,470,46,423
image_969,90,385,71,331
image_970,160,288,99,278
image_971,3,91,105,222
image_972,114,214,21,186
image_973,8,140,13,176
image_974,2,499,24,276
image_975,0,937,671,1657
image_976,28,407,29,365
image_977,105,428,16,396
image_978,0,347,90,283
image_979,15,384,21,343
image_980,18,237,34,152
image_981,201,318,114,229
image_982,11,337,29,280
image_983,34,170,49,203
image_984,59,290,5,210
image_985,69,361,19,349
image_986,216,396,141,332
image_987,10,199,25,284
image_988,89,226,27,262
image_989,3,347,77,374
image_990,11,396,11,291
image_991,3,360,18,419
image_992,0,311,83,309
image_993,142,261,130,367
image_994,4,253,12,177
image_995,18,170,6,172
image_996,87,290,38,219
image_997,21,229,36,254
image_998,0,333,0,374
image_999,0,419,63,191
image_1000,2,172,2,279
image_1001,226,388,116,334
image_1002,15,290,15,249
image_1003,148,384,74,227
image_1004,0,408,18,255
image_1005,15,222,14,191
image_1006,14,185,2,169
image_1007,1,647,74,648
image_1008,125,482,25,310
image_1009,138,414,104,374
image_1010,31,336,0,457
image_1011,8,144,1,231
image_1012,2,212,5,216
image_1013,99,449,29,333
image_1014,47,329,62,288
image_1015,54,224,41,252
image_1016,5,147,6,149
image_1017,14,387,37,258
image_1018,69,244,61,154
image_1019,101,351,138,441
image_1020,19,294,7,392
image_1021,156,455,8,262
image_1022,0,433,22,331
image_1023,19,428,18,509
image_1024,33,399,22,298
image_1025,121,276,147,323
image_1026,142,351,49,332
image_1027,16,288,18,200
image_1028,74,521,37,390
image_1029,41,271,13,256
image_1030,15,228,12,295
image_1031,158,368,84,374
image_1032,3,178,7,183
image_1033,113,499,53,374
image_1034,38,384,14,340
image_1035,84,290,38,337
image_1036,4,110,86,218
image_1037,170,499,99,374
image_1038,2,529,18,276
image_1039,201,307,154,341
image_1040,209,348,153,373
image_1041,73,240,127,429
image_1042,111,341,37,282
image_1043,60,377,73,260
image_1044,30,415,40,319
image_1045,58,167,48,215
image_1046,32,236,8,249
image_1047,120,273,92,334
image_1048,10,291,0,408
image_1049,25,401,66,387
image_1050,100,273,67,313
image_1051,149,353,65,296
image_1052,93,351,52,239
image_1053,37,236,43,177
image_1054,27,457,1,399
image_1055,150,303,37,259
image_1056,74,769,37,1031
image_1057,12,195,15,199
image_1058,26,250,17,271
image_1059,48,156,10,119
image_1060,73,290,58,433
image_1061,116,475,83,581
image_1062,1,315,5,498
image_1063,24,189,16,197
image_1064,31,245,292,467
image_1065,153,444,46,261
image_1066,18,299,16,239
image_1067,208,476,0,414
image_1068,40,373,208,498
image_1069,0,225,101,311
image_1070,204,454,199,391
image_1071,1,180,15,133
image_1072,0,637,1,476
image_1073,32,213,9,215
image_1074,109,316,158,282
image_1075,3,365,13,413
image_1076,19,282,81,288
image_1077,23,326,19,235
image_1078,50,1579,58,1655
image_1079,161,384,29,282
image_1080,4,198,5,193
image_1081,61,345,44,275
image_1082,200,496,69,390
image_1083,29,180,48,207
image_1084,1,399,1,299
image_1085,164,502,9,384
image_1086,10,398,42,484
image_1087,0,326,22,287
image_1088,65,295,58,333
image_1089,183,381,111,320
image_1090,0,499,17,254
image_1091,27,226,22,285
image_1092,20,264,67,215
image_1093,27,220,22,226
image_1094,0,327,27,399
image_1095,13,205,6,193
image_1096,101,214,71,153
image_1097,78,423,32,307
image_1098,138,402,180,356
image_1099,177,499,85,373
image_1100,207,730,126,598
image_1101,7,253,126,305
image_1102,0,412,23,267
image_1103,33,226,49,257
image_1104,3,528,700,1276
image_1105,2,350,93,498
image_1106,154,378,66,346
image_1107,40,242,17,223
image_1108,36,327,0,320
image_1109,49,166,10,182
image_1110,53,249,7,198
image_1111,22,667,83,413
image_1112,0,223,162,324
image_1113,67,1212,58,727
image_1114,33,298,40,436
image_1115,157,291,99,276
image_1116,89,289,45,285
image_1117,29,162,29,257
image_1118,62,246,73,334
image_1119,24,192,40,272
image_1120,11,398,14,286
image_1121,24,465,20,355
image_1122,30,164,37,165
image_1123,33,447,68,266
image_1124,45,414,63,291
image_1125,1,866,19,766
image_1126,40,287,210,369
image_1127,8,248,48,225
image_1128,3,457,7,502
image_1129,1,247,19,222
image_1130,85,374,58,433
image_1131,122,372,52,436
image_1132,83,445,41,327
image_1133,15,222,8,249
image_1134,82,320,40,367
image_1135,183,396,78,325
image_1136,59,221,49,179
image_1137,64,202,45,286
image_1138,0,458,0,332
image_1139,65,697,22,640
image_1140,0,551,13,548
image_1141,20,473,66,317
image_1142,41,499,4,374
image_1143,27,221,27,399
image_1144,34,273,41,231
image_1145,1,440,0,321
image_1146,0,357,25,441
image_1147,135,373,221,498
image_1148,16,272,26,497
image_1149,48,398,2,491
